timestamp,event,total_production,production_count,defect_count,defect_rate,quality_score,batch_size,machine_status
2025-06-23 16:52:47,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
2025-06-23 16:53:08,EMERGENCY_RESET,6,6,0,0.0,100.0,0,EMERGENCY
2025-06-23 16:59:48,EMERGENCY_RESET,6,6,0,0.0,100.0,6,EMERGENCY
2025-06-23 17:03:00,EMERGENCY_RESET,32,32,0,0.0,100.0,32,EMERGENCY
2025-06-23 18:40:46,EMERGENCY_RESET,9,9,0,0.0,100.0,9,EMERGENCY
2025-06-24 11:29:17,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
2025-06-24 11:43:33,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
2025-06-24 12:21:37,EMERGENCY_RESET,14,14,10,71.43,100.0,14,EMERGENCY
2025-06-24 12:38:29,EMERGENCY_RESET,20,20,5,25.0,100.0,20,EMERGENCY
2025-06-24 13:37:12,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
2025-06-24 13:46:39,EMERGENCY_RESET,0,0,1,100.0,100.0,0,EMERGENCY
2025-06-24 13:54:35,EMERGENCY_RESET,2,2,1,50.0,100.0,2,EMERGENCY
2025-06-24 14:44:39,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
2025-06-24 15:18:06,EMERGENCY_RESET,8,8,2,25.0,100.0,8,EMERGENCY
2025-06-24 15:20:30,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
2025-06-24 15:20:56,EMERGENCY_RESET,6,6,7,116.67,100.0,6,EMERGENCY
2025-06-24 15:21:36,EMERGENCY_RESET,8,8,7,87.5,100.0,8,EMERGENCY
2025-06-24 15:38:26,EMERGENCY_RESET,5,5,3,60.0,100.0,5,EMERGENCY
2025-06-24 15:39:17,EMERGENCY_RESET,10,10,8,80.0,100.0,10,EMERGENCY
2025-06-24 15:47:30,EMERGENCY_RESET,13,13,3,23.08,100.0,13,EMERGENCY
2025-06-24 15:49:00,EMERGENCY_RESET,22,22,9,40.91,93.6,22,EMERGENCY
2025-06-24 18:21:35,EMERGENCY_RESET,11,11,4,36.36,100.0,11,EMERGENCY
2025-06-25 10:08:48,EMERGENCY_RESET,21,21,5,23.81,100.0,21,EMERGENCY
2025-06-25 10:17:00,EMERGENCY_RESET,0,0,0,0.0,100.0,0,EMERGENCY
