epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97665,6.53916,4.45945,2.98975,0,0,0,0,6.67865,3.9872,3.95732,0,0,0
2,5.5364,6.68225,4.95214,3.25623,0,0,0,0,6.6645,3.97696,3.85775,1.9901e-05,1.9901e-05,1.9901e-05
3,8.35715,6.63661,5.08605,3.18073,0,0,0,0,6.62868,3.94715,3.65673,3.9604e-05,3.9604e-05,3.9604e-05
4,10.2043,6.45929,4.74966,2.98105,0,0,0,0,6.55692,3.89336,3.3332,5.9109e-05,5.9109e-05,5.9109e-05
5,12.4965,6.55296,5.0064,2.57268,0,0,0,0,6.43675,3.86012,2.98412,7.8416e-05,7.8416e-05,7.8416e-05
6,15.4035,6.34143,5.77933,2.04922,0,0,0,0,6.27274,3.81137,2.54502,9.7525e-05,9.7525e-05,9.7525e-05
7,17.6874,5.88888,4.08294,2.10087,0,0,0,0,5.94291,3.76933,2.03157,0.000116436,0.000116436,0.000116436
8,19.7508,5.74247,3.75761,1.73501,0,0,0,0,5.28699,3.69778,1.48246,0.000135149,0.000135149,0.000135149
9,22.2193,5.46235,3.59416,1.53749,0,0,0,0,5.28699,3.69778,1.48246,0.000153664,0.000153664,0.000153664
10,24.9646,5.30203,3.71248,1.47208,0,0,0,0,4.24179,3.64076,1.11273,0.000171981,0.000171981,0.000171981
11,26.7609,4.72894,3.47542,1.42144,0,0,0,0,4.24179,3.64076,1.11273,0.0001901,0.0001901,0.0001901
12,28.759,4.70873,3.54425,1.30275,0,0,0,0,3.97779,3.62748,1.018,0.000208021,0.000208021,0.000208021
13,30.853,4.21138,3.34242,1.23345,0,0,0,0,3.97779,3.62748,1.018,0.000225744,0.000225744,0.000225744
14,32.7106,4.21571,3.28955,1.27646,0,0,0,0,4.81609,3.65318,1.04888,0.000243269,0.000243269,0.000243269
15,35.7193,4.07128,3.17502,1.10136,0,0,0,0,4.81609,3.65318,1.04888,0.000260596,0.000260596,0.000260596
16,37.6586,4.47824,3.34396,1.16176,0,0,0,0,5.30999,3.65303,1.07022,0.000277725,0.000277725,0.000277725
17,39.9832,4.17825,3.0747,1.10206,0,0,0,0,5.30999,3.65303,1.07022,0.000294656,0.000294656,0.000294656
18,42.1552,4.68319,3.33525,1.033,0,0,0,0,5.53175,3.64807,1.09392,0.000311389,0.000311389,0.000311389
19,43.8139,4.38641,2.87509,1.10206,0,0,0,0,5.53175,3.64807,1.09392,0.000327924,0.000327924,0.000327924
20,45.6338,4.26927,2.91235,1.01225,0,0,0,0,5.38333,3.49486,1.06791,0.000344261,0.000344261,0.000344261
21,47.238,3.66487,2.64044,1.05142,0,0,0,0,5.38333,3.49486,1.06791,0.0003604,0.0003604,0.0003604
22,49.4473,3.73054,2.64181,1.0139,0.00222,0.00368,0.00114,0.00034,4.70481,3.28892,0.99817,0.000376341,0.000376341,0.000376341
23,51.7966,4.10227,2.55445,0.97618,0.00222,0.00368,0.00114,0.00034,4.70481,3.28892,0.99817,0.000392084,0.000392084,0.000392084
24,53.6368,3.6658,2.40231,0.98154,0.00222,0.00368,0.00114,0.00034,4.70481,3.28892,0.99817,0.000407629,0.000407629,0.000407629
25,55.3459,4.08824,2.61981,0.95729,0.03333,0.05515,0.01859,0.00365,4.15085,3.08258,0.93416,0.000422976,0.000422976,0.000422976
26,57.001,3.38353,2.31488,1.02128,0.03333,0.05515,0.01859,0.00365,4.15085,3.08258,0.93416,0.000438125,0.000438125,0.000438125
27,58.8168,3.37352,2.33685,1.02043,0.03333,0.05515,0.01859,0.00365,4.15085,3.08258,0.93416,0.000453076,0.000453076,0.000453076
28,60.805,3.28258,2.19597,0.97151,0.10667,0.17647,0.06805,0.01844,3.45061,2.86468,0.89147,0.000467829,0.000467829,0.000467829
29,63.0734,3.26698,2.01145,0.94337,0.10667,0.17647,0.06805,0.01844,3.45061,2.86468,0.89147,0.000482384,0.000482384,0.000482384
30,65.0467,3.35815,2.20856,0.98386,0.10667,0.17647,0.06805,0.01844,3.45061,2.86468,0.89147,0.000496741,0.000496741,0.000496741
31,67.3099,3.3366,2.07238,0.94752,0.16889,0.27941,0.12545,0.03484,3.19299,2.61643,0.88613,0.0005109,0.0005109,0.0005109
32,69.7129,3.51714,1.99772,0.94438,0.16889,0.27941,0.12545,0.03484,3.19299,2.61643,0.88613,0.000524861,0.000524861,0.000524861
33,71.9897,3.32534,2.03024,0.94278,0.16889,0.27941,0.12545,0.03484,3.19299,2.61643,0.88613,0.000538624,0.000538624,0.000538624
