epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66352,6.54331,4.45505,2.92411,0,0,0,0,6.49405,3.94618,3.62913,2e-05,2e-05,2e-05
2,8.69928,6.46953,4.97038,2.94587,0,0,0,0,6.38616,3.87003,3.24453,5.9703e-05,5.9703e-05,5.9703e-05
3,11.9406,3.28321,5.98961,1.41366,0,0,0,0,6.20629,3.80545,2.77319,9.901e-05,9.901e-05,9.901e-05
4,15.7422,3.94882,6.20374,1.12981,0,0,0,0,5.93362,3.76038,2.28079,0.000137921,0.000137921,0.000137921
5,19.732,5.86546,4.06775,1.60994,0,0,0,0,5.59579,3.73257,1.91234,0.000176436,0.000176436,0.000176436
6,22.149,4.39525,3.83709,1.46238,0,0,0,0,4.91229,3.68061,1.46874,0.000214555,0.000214555,0.000214555
7,25.1016,5.36104,3.91027,1.32333,0,0,0,0,4.15502,3.631,1.13489,0.000252278,0.000252278,0.000252278
8,29.1319,5.17937,4.65551,1.18304,0,0,0,0,4.0715,3.6044,1.03266,0.000289605,0.000289605,0.000289605
9,31.6129,4.09783,3.27473,1.1078,0,0,0,0,4.73681,3.60673,1.05543,0.000326536,0.000326536,0.000326536
10,34.5356,3.94087,3.03906,1.11624,0.00074,0.00122,0.00037,7e-05,4.69796,3.53285,1.03818,0.000363071,0.000363071,0.000363071
11,37.0986,3.89363,2.82543,1.1176,0.00037,0.00061,0.00019,2e-05,4.19083,3.38448,0.9905,0.00039921,0.00039921,0.00039921
12,40.4738,3.8257,2.78687,1.0246,0.00037,0.00061,0.00019,2e-05,4.19083,3.38448,0.9905,0.000434953,0.000434953,0.000434953
13,42.8535,3.58478,2.52381,1.01962,0.01,0.01644,0.00514,0.00124,3.66374,3.24719,0.95143,0.0004703,0.0004703,0.0004703
14,46.5959,4.41211,2.66445,0.99325,0.04074,0.06699,0.02317,0.00757,3.52753,3.0885,0.94681,0.000505251,0.000505251,0.000505251
15,50.2976,3.9196,2.42737,0.98148,0.04074,0.06699,0.02317,0.00757,3.52753,3.0885,0.94681,0.000539806,0.000539806,0.000539806
16,54.7097,3.38723,2.15392,0.98223,0.10519,0.17296,0.06761,0.01885,3.64272,2.88366,0.9584,0.000573965,0.000573965,0.000573965
17,58.3938,4.1661,2.77467,1.01983,0.11556,0.19001,0.07554,0.02021,3.70508,2.6748,0.96195,0.000607728,0.000607728,0.000607728
18,62.3748,3.49627,2.0292,1.00497,0.11556,0.19001,0.07554,0.02021,3.70508,2.6748,0.96195,0.000641095,0.000641095,0.000641095
19,66.3292,3.32684,1.86039,1.00168,0.15074,0.24787,0.12359,0.03454,3.49054,2.47371,0.94917,0.000674066,0.000674066,0.000674066
20,70.2271,1.68198,22.0414,0.47946,0.15074,0.24787,0.12359,0.03454,3.49054,2.47371,0.94917,0.000706641,0.000706641,0.000706641
21,74.4305,3.84518,2.05489,1.03891,0.13074,0.21498,0.09226,0.02748,3.37486,2.88719,0.94514,0.00073882,0.00073882,0.00073882
22,78.8316,3.72021,2.08586,0.98375,0.13074,0.21498,0.09226,0.02748,3.37486,2.88719,0.94514,0.000770603,0.000770603,0.000770603
23,83.0784,3.0483,1.85765,0.95447,0.00481,0.00792,0.00246,0.00046,4.60684,3.45155,1.2662,0.00080199,0.00080199,0.00080199
24,86.6997,4.70269,4.22023,1.0556,0.00481,0.00792,0.00246,0.00046,4.60684,3.45155,1.2662,0.000832981,0.000832981,0.000832981
25,89.1054,3.15849,2.05766,0.95732,0.02148,0.03532,0.01189,0.00266,4.51958,3.20663,1.23539,0.000863576,0.000863576,0.000863576
26,92.8026,3.37179,1.91232,0.98501,0.02148,0.03532,0.01189,0.00266,4.51958,3.20663,1.23539,0.000893775,0.000893775,0.000893775
27,95.5891,3.10118,1.70241,0.93933,0.02148,0.03532,0.01189,0.00266,4.51958,3.20663,1.23539,0.000923578,0.000923578,0.000923578
28,99.798,3.39711,1.88736,0.9795,0.10296,0.16931,0.07453,0.01649,3.91486,2.72995,1.08703,0.000952985,0.000952985,0.000952985
29,102.278,4.25108,3.65773,0.947,0.10296,0.16931,0.07453,0.01649,3.91486,2.72995,1.08703,0.000981996,0.000981996,0.000981996
30,106.14,3.38243,1.84302,1.02039,0.15926,0.26188,0.15299,0.03535,3.41953,2.33911,0.98491,0.00101061,0.00101061,0.00101061
31,108.684,3.02344,1.61052,0.94577,0.15926,0.26188,0.15299,0.03535,3.41953,2.33911,0.98491,0.00103883,0.00103883,0.00103883
32,111.928,3.20028,1.94207,0.95113,0.15926,0.26188,0.15299,0.03535,3.41953,2.33911,0.98491,0.00106665,0.00106665,0.00106665
