
---- 2025-06-30 ----
Batch Size,Defect Rate,Timestamp
24,308.33,2025-06-30 11:01:24
11,27.27,2025-06-30 14:09:16
31,25.81,2025-06-30 14:43:40

---- 2025-07-03 ----
Batch Size,Defect Rate,Timestamp
0,0.00,2025-07-03 15:42:08
8,0.00,2025-07-03 16:26:05
12,41.67,2025-07-03 16:45:54
12,41.67,2025-07-03 16:53:03
12,41.67,2025-07-03 16:53:29
12,41.67,2025-07-03 16:53:55
29,24.14,2025-07-03 16:55:30
29,24.14,2025-07-03 16:55:30
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
29,24.14,2025-07-03 16:55:31
30,23.33,2025-07-03 16:55:32
30,23.33,2025-07-03 16:55:32
30,23.33,2025-07-03 16:55:32
21,47.62,2025-07-03 17:14:56
21,47.62,2025-07-03 17:14:56
21,47.62,2025-07-03 17:14:56
21,47.62,2025-07-03 17:14:57
21,47.62,2025-07-03 17:14:57

---- 2025-07-16 ----
Batch Size,Defect Rate,Timestamp
21,23.81,2025-07-16 12:49:58
4,50.00,2025-07-16 12:51:28
